wave_10_0_slice_0000|啊|SP ch un h ua f en f ei d e w ei f eng n an b i n i SP y i y En SP|rest|0|0.08 0.11 0.08 0.11 0.14 0.11 0.13 0.11 0.14 0.09 0.11 0.14 0.11 0.16 0.38 0.06 0.18 0.07 0.11 0.13 0.275 0.065 0.08 0.42 0.03 0.43 0.31544|0
wave_10_0_slice_0001|啊|SP k an g uan y ve m ing y v ch ao q i sh eng w ang zh e SP d ui n i d e s i0 n ian SP|rest|0|1.148073 0.19 0.13 0.05 0.05 0.19 0.4 0.06 0.33 0.11 0.5525 0.1175 0.12 0.18 0.22 0.14 0.14 0.05 0.15 0.13 0.225 0.065 0.07 0.11 0.12 0.11 0.14 0.2725 0.1875 0.39 0.05 1.43 0.519883|0
wave_10_1_slice_0000|啊|SP n i b a sh an h e d e y ing x iong n an d i n i m ei y En y En m o h an b ao zh e l in d ong SP b u x v d e ch uan y En SP|rest|0|1.167846 0.11 0.22 0.08 0.06 0.14 0.1 0.15 0.13 0.08 0.05 0.18 0.11 0.17 0.12 0.27 0.13 0.12 0.07 0.13 0.28 0.15 0.38 0.06 0.35 0.07 0.08 0.14 0.11 0.14 0.13 0.07 0.1 0.11 0.08 0.15 0.18 0.05 0.33 0.04 0.07 0.04 0.18 0.13 0.08 0.34 0.13 0.1 0.33 0.35 0.07937|0
wave_10_2_slice_0000|啊|SP z ai zh e zh ong ch eng b u z ai y ou j ia zh ir d e sh ir d ai l i r en j iang d i r en y En m ai f u ch ou d e z i0 t ai SP|rest|0|1.945873 0.12 0.11 0.09 0.08 0.16 0.13 0.11 0.15 0.08 0.06 0.13 0.09 0.17 0.22 0.16 0.12 0.12 0.13 0.1 0.24 0.2 0.33 0.08 0.39 0.08 0.18 0.03 0.12 0.09 0.15 0.07 0.2 0.03 0.12 0.07 0.2 0.04 0.28 0.15 0.1 0.14 0.1 0.09 0.3 0.17 0.33 0.16 0.32 0.22787|0
wave_10_3_slice_0000|啊|SP z ai zh e zh ong ch eng b u z ai y ou j ia zh ir d e sh ir SP d ai l i r en j iang d i r en y En m ai f u ch ou d e z i0 t ai SP|rest|0|1.73898 0.19 0.15 0.09 0.05 0.16 0.14 0.08 0.17 0.06 0.07 0.13 0.09 0.18 0.23 0.15 0.12 0.13 0.11 0.12 0.21 0.23 0.32 0.04 0.06 0.39 0.03 0.17 0.03 0.16 0.09 0.14 0.1 0.15 0.05 0.06 0.14 0.22 0.03 0.3 0.15 0.03 0.16 0.13 0.09 0.29 0.15 0.34 0.16 0.24 0.10394|0
wave_10_4_slice_0000|啊|SP AP SP AP SP AP j ian sh ir SP y i x ia SP h uo l i SP AP q van SP k ai ai AP h ai b u SP sh ir w o SP|rest|0|0.18 0.1 0.155 0.295 0.04 0.1375 0.1425 0.23 0.21 0.125 0.485 0.03 0.03 0.16 0.1 0.22 0.13 0.27 0.03 0.015 0.17 0.225 0.15 0.295 0.055 0.08 2.64 0.8 0.41 0.1 0.26 0.19 0.095 0.095 0.25 0.3575 0.0725 0.08 0.07594|0
wave_10_5_slice_0000|啊|SP z ui j ia AP SP zh uang t ai AP SP|rest|0|1.464331 0.1 0.25 0.17 0.085 0.105 0.17 0.09 0.24 0.17 3.385 0.35925 1.977959|0
wave_10_6_slice_0000|啊|h uo l i SP q van k ai SP|rest|0|0.14 0.3275 0.1425 0.07 0.18 0.18 0.36 0.11 1.645 0.67375|0
wave_10_6_slice_0001|啊|d ang sh a y i z ai d i SP t u sh ang SP p u k ai AP zh ir g uai d ao j ian w u q in z ai zh e b ing g e n ian d ai q ing SP an x in sh ou z ai n i sh en c e b u p a y ou w o z ai f ang zh e r ang w o l ai SP AP n i j iu sh ir w o d e b ai y ve g uang x iang w ei l ai d e ch ir b ang SP|rest|0|0.42 0.2375 0.1825 0.31 0.17 0.06 0.11 0.1 0.12 0.08 0.04 0.09 0.08 0.13 0.14 0.11 0.03 0.03 0.16 0.375 0.205 0.12 0.04 0.14 0.12 0.11 0.11 0.13 0.22 0.03 0.03 0.18 0.35 0.07 0.12 0.11 0.1 0.13 0.3625 0.0775 0.41 0.04 0.34 0.08 0.3 0.14 0.295 0.095 0.29 0.18 0.25 0.14 0.08 0.12 0.12 0.11 0.2575 0.1625 0.3275 0.1125 0.29 0.14 0.06 0.17 0.04 0.18 0.2775 0.1725 0.2875 0.1325 0.2975 0.1025 0.13 0.09 0.1675 0.0525 0.15 0.28 0.3475 0.0425 0.62 0.21 0.3375 0.1825 0.1 0.11 0.12 0.17 0.26 0.15 0.1 0.1 0.12 0.13 0.3175 0.1425 0.34 0.05 0.14 0.1 0.09 0.12 0.12 0.07 0.13 0.11 0.31 0.18 0.3 0.11 1.435 0.421041|0
wave_10_7_slice_0000|啊|SP c an t ou sh ir j ian d e y v y En y En j van l e SP r en j ian y ong l ai y i h u j iu zh ang j ian z uo g e sh ir zh ong x ian SP|rest|0|0.912834 0.14 0.16 0.06 0.11 0.15 0.12 0.09 0.14 0.08 0.09 0.15 0.01 0.23 0.3 0.08 0.13 0.12 0.16 0.06 0.305 0.045 0.09 0.28 0.12 0.4 0.07 0.11 0.07 0.16 0.07 0.14 0.12 0.06 0.13 0.1 0.1 0.15 0.11 0.34 0.09 0.165 0.075 0.06 0.17 0.32 0.1 0.3 0.19 0.255 1.191663|0
